circular	auto	sex	NCBI	UCSC	Ensembl
FALSE	TRUE	FALSE	NW_020822457.1	picr_42	picr_42
FALSE	TRUE	FALSE	NW_020822458.1	picr_44	picr_44
FALSE	TRUE	FALSE	NW_020822459.1	picr_46	picr_46
FALSE	TRUE	FALSE	NW_020822460.1	picr_48	picr_48
FALSE	TRUE	FALSE	NW_020822461.1	picr_5	picr_5
FALSE	TRUE	FALSE	NW_020822462.1	picr_51	picr_51
FALSE	TRUE	FALSE	NW_020822463.1	picr_545	picr_545
FALSE	TRUE	FALSE	NW_020822464.1	picr_55_new	picr_55_new
FALSE	TRUE	FALSE	NW_020822465.1	picr_56	picr_56
FALSE	TRUE	FALSE	NW_020822467.1	picr_67	picr_67
FALSE	TRUE	FALSE	NW_020822468.1	picr_6_new	picr_6_new
FALSE	TRUE	FALSE	NW_020822469.1	picr_72	picr_72
FALSE	TRUE	FALSE	NW_020822470.1	picr_74	picr_74
FALSE	TRUE	FALSE	NW_020822471.1	picr_77	picr_77
FALSE	TRUE	FALSE	NW_020822472.1	picr_909	picr_909
FALSE	TRUE	FALSE	NW_020822473.1	picr_923	picr_923
FALSE	TRUE	FALSE	NW_020822466.1	picr_65	picr_65
FALSE	TRUE	FALSE	NW_020822474.1	picr_103_new	picr_103_new
FALSE	TRUE	FALSE	NW_020822475.1	picr_104	picr_104
FALSE	TRUE	FALSE	NW_020822476.1	picr_109	picr_109
FALSE	TRUE	FALSE	NW_020822477.1	picr_1213	picr_1213
FALSE	TRUE	FALSE	NW_020822478.1	picr_1224	picr_1224
FALSE	TRUE	FALSE	NW_020822479.1	picr_1240	picr_1240
FALSE	TRUE	FALSE	NW_020822480.1	picr_1286	picr_1286
FALSE	TRUE	FALSE	NW_020822481.1	picr_1321	picr_1321
FALSE	TRUE	FALSE	NW_020822482.1	picr_1346	picr_1346
FALSE	TRUE	FALSE	NW_020822483.1	picr_142	picr_142
FALSE	TRUE	FALSE	NW_020822484.1	picr_148	picr_148
FALSE	TRUE	FALSE	NW_020822485.1	picr_1495	picr_1495
FALSE	TRUE	FALSE	NW_020822486.1	picr_14_new	picr_14_new
FALSE	TRUE	FALSE	NW_020822487.1	picr_15	picr_15
FALSE	TRUE	FALSE	NW_020822488.1	picr_151	picr_151
FALSE	TRUE	FALSE	NW_020822489.1	picr_1538	picr_1538
FALSE	TRUE	FALSE	NW_020822490.1	picr_157	picr_157
FALSE	TRUE	FALSE	NW_020822491.1	picr_1638	picr_1638
FALSE	TRUE	FALSE	NW_020822492.1	picr_1702	picr_1702
FALSE	TRUE	FALSE	NW_020822493.1	picr_172	picr_172
FALSE	TRUE	FALSE	NW_020822494.1	picr_1724	picr_1724
FALSE	TRUE	FALSE	NW_020822495.1	picr_176	picr_176
FALSE	TRUE	FALSE	NW_020822496.1	picr_1818	picr_1818
FALSE	TRUE	FALSE	NW_020822497.1	picr_1821	picr_1821
FALSE	TRUE	FALSE	NW_020822498.1	picr_196	picr_196
FALSE	TRUE	FALSE	NW_020822499.1	picr_20	picr_20
FALSE	TRUE	FALSE	NW_020822500.1	picr_212	picr_212
FALSE	TRUE	FALSE	NW_020822501.1	picr_24_new	picr_24_new
FALSE	TRUE	FALSE	NW_020822502.1	picr_262	picr_262
FALSE	TRUE	FALSE	NW_020822503.1	picr_29_new	picr_29_new
FALSE	TRUE	FALSE	NW_020822504.1	picr_34_new	picr_34_new
FALSE	TRUE	FALSE	NW_020822505.1	picr_35	picr_35
FALSE	TRUE	FALSE	NW_020822506.1	picr_36	picr_36
FALSE	TRUE	FALSE	NW_020822507.1	picr_39_new	picr_39_new
FALSE	TRUE	FALSE	NW_020822508.1	picr_43_new	picr_43_new
FALSE	TRUE	FALSE	NW_020822509.1	picr_547	picr_547
FALSE	TRUE	FALSE	NW_020822510.1	picr_700	picr_700
FALSE	TRUE	FALSE	NW_020822512.1	picr_82	picr_82
FALSE	TRUE	FALSE	NW_020822513.1	picr_83	picr_83
FALSE	TRUE	FALSE	NW_020822514.1	picr_949	picr_949
FALSE	TRUE	FALSE	NW_020822515.1	picr_978	picr_978
FALSE	TRUE	FALSE	NW_020822511.1	picr_78_new	picr_78_new
FALSE	TRUE	FALSE	NW_020822516.1	picr_1010	picr_1010
FALSE	TRUE	FALSE	NW_020822517.1	picr_1026	picr_1026
FALSE	TRUE	FALSE	NW_020822518.1	picr_128	picr_128
FALSE	TRUE	FALSE	NW_020822519.1	picr_13	picr_13
FALSE	TRUE	FALSE	NW_020822520.1	picr_133	picr_133
FALSE	TRUE	FALSE	NW_020822521.1	picr_1369	picr_1369
FALSE	TRUE	FALSE	NW_020822522.1	picr_1400	picr_1400
FALSE	TRUE	FALSE	NW_020822523.1	picr_1547	picr_1547
FALSE	TRUE	FALSE	NW_020822524.1	picr_1607	picr_1607
FALSE	TRUE	FALSE	NW_020822525.1	picr_1691	picr_1691
FALSE	TRUE	FALSE	NW_020822526.1	picr_16_new	picr_16_new
FALSE	TRUE	FALSE	NW_020822527.1	picr_1825	picr_1825
FALSE	TRUE	FALSE	NW_020822528.1	picr_312	picr_312
FALSE	TRUE	FALSE	NW_020822529.1	picr_3_new	picr_3_new
FALSE	TRUE	FALSE	NW_020822530.1	picr_50	picr_50
FALSE	TRUE	FALSE	NW_020822531.1	picr_53	picr_53
FALSE	TRUE	FALSE	NW_020822532.1	picr_59	picr_59
FALSE	TRUE	FALSE	NW_020822533.1	picr_62	picr_62
FALSE	TRUE	FALSE	NW_020822534.1	picr_69	picr_69
FALSE	TRUE	FALSE	NW_020822535.1	picr_71	picr_71
FALSE	TRUE	FALSE	NW_020822536.1	picr_722	picr_722
FALSE	TRUE	FALSE	NW_020822537.1	picr_87	picr_87
FALSE	TRUE	FALSE	NW_020822538.1	picr_89_new	picr_89_new
FALSE	TRUE	FALSE	NW_020822539.1	picr_98	picr_98
FALSE	TRUE	FALSE	NW_020822540.1	picr_1017	picr_1017
FALSE	TRUE	FALSE	NW_020822541.1	picr_1025	picr_1025
FALSE	TRUE	FALSE	NW_020822542.1	picr_1029	picr_1029
